"","year","generation","sba","Per_Mice"
"160",1993,1,413,89.8876404494382
"161",1993,1,414,81.6326530612245
"162",1993,1,501,82.2222222222222
"163",1993,2,101,30.3030303030303
"164",1993,2,102,51.4285714285714
"165",1993,2,103,72.2222222222222
"166",1993,2,104,59.2592592592593
"167",1993,2,105,66.6666666666667
"168",1993,2,106,85.2459016393443
"169",1993,2,107,67.8571428571429
"170",1993,2,108,96.7741935483871
"171",1993,2,109,76.4705882352941
"172",1993,2,110,83.8709677419355
"173",1993,2,201,67.3913043478261
"174",1993,2,202,78.7878787878788
"175",1993,2,203,47.0588235294118
"176",1993,2,204,31.0344827586207
"177",1993,2,205,52.6315789473684
"178",1993,2,206,80.7692307692308
"179",1993,2,207,77.2727272727273
"180",1993,2,208,80
"181",1993,2,209,83.3333333333333
"182",1993,2,210,92.4050632911392
"183",1993,2,211,93.6842105263158
"184",1993,2,212,88.5714285714286
"185",1993,2,213,75.5555555555556
"186",1993,2,214,82.5
"187",1993,2,215,91.5492957746479
"188",1993,2,216,9.09090909090909
"189",1993,2,217,70
"190",1993,2,218,91.5492957746479
"191",1993,2,301,83.0188679245283
"192",1993,2,302,64.4067796610169
"193",1993,2,303,81.4814814814815
"194",1993,2,304,90.3225806451613
"195",1993,2,305,93.5779816513761
"196",1993,2,306,86.2745098039216
"197",1993,2,307,55.5555555555556
"198",1993,2,308,26.6666666666667
"199",1993,2,309,52.1739130434783
"200",1993,2,310,61.3636363636364
"201",1993,2,401,92
"202",1993,2,402,93.3333333333333
"203",1993,2,403,92.3076923076923
"204",1993,2,404,73.3333333333333
"205",1993,2,405,94.5205479452055
"206",1993,2,406,90.9090909090909
"207",1993,2,407,98.0769230769231
"208",1993,2,408,94.6428571428571
"209",1993,2,409,89.3617021276596
"210",1993,2,410,95.3488372093023
"211",1993,2,411,98.6301369863014
"212",1993,2,412,83.3333333333333
"213",1993,2,413,97.3684210526316
"214",1993,2,414,64.2857142857143
"215",1993,2,501,84.2105263157895
"216",1993,2,503,93.8461538461538
"217",1996,1,101,42.96875
"218",1996,1,102,52.3809523809524
"219",1996,1,103,32.2033898305085
"220",1996,1,104,46.078431372549
"221",1996,1,105,48.4848484848485
"222",1996,1,106,58.75
"223",1996,1,107,61.3793103448276
"224",1996,1,108,93.1818181818182
"225",1996,1,109,75.2941176470588
"226",1996,1,110,75
"227",1996,1,201,60.3305785123967
"228",1996,1,202,58.3333333333333
"229",1996,1,203,39.5348837209302
"230",1996,1,204,47.5728155339806
"231",1996,1,205,62.5
"232",1996,1,206,75.4385964912281
"233",1996,1,207,74.6031746031746
"234",1996,1,208,47.9452054794521
"235",1996,1,209,41.7391304347826
"236",1996,1,210,81.3333333333333
"237",1996,1,211,87.0748299319728
"238",1996,1,212,88.2882882882883
"239",1996,1,213,82.5396825396825
"240",1996,1,214,62.0253164556962
"241",1996,1,215,84.6153846153846
"242",1996,1,216,53.6585365853659
"243",1996,1,217,59.7014925373134
"244",1996,1,218,82.9457364341085
"245",1996,1,301,86.6666666666667
"246",1996,1,302,61.4906832298137
"247",1996,1,303,68.8172043010753
"248",1996,1,304,85.1063829787234
"249",1996,1,305,83.9416058394161
"250",1996,1,306,88.2978723404255
"251",1996,1,307,43.5643564356436
"252",1996,1,308,47.0588235294118
"253",1996,1,309,46.8085106382979
"254",1996,1,310,36.5384615384615
"255",1996,1,401,78.0898876404494
"256",1996,1,402,76.984126984127
"257",1996,1,403,59.8837209302326
"258",1996,1,404,70.4225352112676
"259",1996,1,405,91.304347826087
"260",1996,1,406,88.9655172413793
"261",1996,1,407,84.9765258215962
"262",1996,1,408,85.6115107913669
"263",1996,1,409,80.1801801801802
"264",1996,1,410,81.9444444444444
"265",1996,1,411,93.5483870967742
"266",1996,1,412,74.7899159663866
"267",1996,1,413,92.8571428571429
"268",1996,1,414,65.3061224489796
"269",1996,1,501,84.4827586206897
"270",1996,1,503,93.9393939393939
"271",1996,2,101,46.4285714285714
"272",1996,2,102,52
"273",1996,2,103,30.4347826086957
"274",1996,2,104,45
"275",1996,2,105,44.4444444444444
"276",1996,2,106,78.5714285714286
"277",1996,2,107,64.0625
"278",1996,2,108,96.6666666666667
"279",1996,2,109,81.5384615384615
"280",1996,2,110,80.4878048780488
"281",1996,2,201,78.5714285714286
"282",1996,2,202,92.3076923076923
"283",1996,2,203,80
"284",1996,2,204,45
"285",1996,2,205,80.9523809523809
"286",1996,2,206,75.609756097561
"287",1996,2,207,69.2307692307692
"288",1996,2,208,84.2105263157895
"289",1996,2,209,55.5555555555556
"290",1996,2,210,93.2203389830509
"291",1996,2,212,89.0909090909091
"292",1996,2,213,86.3636363636364
"293",1996,2,214,73.1707317073171
"294",1996,2,215,90.5405405405405
"295",1996,2,216,57.1428571428571
"296",1996,2,217,78.5714285714286
"297",1996,2,218,91.044776119403
"298",1996,2,301,86.1111111111111
"299",1996,2,302,71.7391304347826
"300",1996,2,303,85.3658536585366
"301",1996,2,304,88.135593220339
"302",1996,2,305,89.010989010989
"303",1996,2,306,95.6989247311828
"304",1996,2,307,47.6190476190476
"305",1996,2,308,28.5714285714286
"306",1996,2,309,57.8947368421053
