"","year","generation","sba","Per_Poor_Window","Per_Deteriorate","Per_Poor_Wall","Per_Poor_Kitchen"
"1",1991,1,101,14.8760330578512,16.8067226890756,10.655737704918,15
"2",1991,1,102,14.2857142857143,28.5714285714286,12.0879120879121,7.69230769230769
"3",1991,1,103,20.7547169811321,16.0377358490566,3.77358490566037,16.1904761904762
"4",1991,1,104,25,29.7872340425532,13.5416666666667,8.60215053763442
"5",1991,1,105,18.3673469387755,31.9587628865979,10.2040816326531,6.25
"6",1991,1,106,3.37078651685393,29.5454545454545,14.6067415730337,0
"7",1991,1,107,3.84615384615384,5.46875,6.15384615384616,12.5984251968504
"8",1991,1,108,0,0,0,2.27272727272727
"9",1991,1,109,3.33333333333333,1.66666666666667,0,1.72413793103449
"10",1991,1,110,6,8,3,9.09090909090909
"11",1991,1,201,9.42028985507247,20.2898550724638,5.79710144927536,8.69565217391305
"12",1991,1,202,0,16.6666666666667,0,10.6382978723404
"13",1991,1,203,11.7647058823529,32,13.7254901960784,19.1489361702128
"14",1991,1,204,2.12765957446808,40.8602150537634,4.25531914893617,5.55555555555556
"15",1991,1,205,5.88235294117648,8.23529411764706,3.52941176470588,5.88235294117648
"16",1991,1,206,7.01754385964912,12.7272727272727,5.26315789473685,1.81818181818181
"17",1991,1,207,4.92957746478874,7.04225352112677,0,2.89855072463769
"18",1991,1,208,11,19.3877551020408,3,6.25
"19",1991,1,209,3.73134328358209,21.6417910447761,5.97014925373134,3.84615384615384
"20",1991,1,210,1.51515151515152,3.03030303030303,3.03030303030303,0
"21",1991,1,211,7.82608695652173,1.73913043478261,0,1.75438596491229
"22",1991,1,212,2.5,7.37704918032787,0,0.840336134453779
"23",1991,1,213,9.17431192660551,13.8888888888889,3.6697247706422,3.6697247706422
"24",1991,1,214,7.22891566265061,19.0184049079755,4.81927710843374,10.4938271604938
"25",1991,1,215,0,2.17391304347827,1.08695652173914,7.77777777777777
"26",1991,1,216,11.1111111111111,17.2839506172839,16.0493827160494,7.59493670886076
"27",1991,1,217,2.51572327044025,7.69230769230769,3.14465408805032,2.53164556962025
"28",1991,1,218,0,0.952380952380949,1.90476190476191,1.92307692307693
"29",1991,1,301,4.91803278688525,13.3333333333333,6.45161290322581,0
"30",1991,1,302,2.4390243902439,12.2699386503067,4.26829268292683,3.65853658536585
"31",1991,1,303,8.82352941176471,12.7450980392157,9.80392156862744,2.94117647058823
"32",1991,1,304,0,5.81395348837209,3.48837209302324,6.97674418604652
"33",1991,1,305,3.14960629921261,7.8740157480315,3.17460317460318,5.55555555555556
"34",1991,1,306,4.3859649122807,13.0434782608696,2.60869565217391,5.30973451327434
"35",1991,1,307,12.2448979591837,22.4489795918367,5.10204081632652,5.20833333333334
"36",1991,1,308,21.7391304347826,29.1666666666667,8.69565217391305,8.33333333333334
"37",1991,1,309,9.78260869565217,13.1868131868132,10.8695652173913,5.43478260869566
"38",1991,1,310,1.97044334975369,10,5.41871921182266,5
"39",1991,1,401,3.50877192982456,2.9585798816568,2.3391812865497,2.42424242424242
"40",1991,1,402,2.23880597014924,2.20588235294117,0.740740740740748,3.00751879699249
"41",1991,1,403,2.40963855421687,12.1951219512195,2.40963855421687,0.621118012422357
"42",1991,1,404,2.27272727272727,10.6870229007634,3.78787878787878,1.55038759689923
"43",1991,1,405,1.03092783505154,7.21649484536083,2.0618556701031,1.03092783505154
"44",1991,1,406,0,0,1,1
"45",1991,1,407,0.591715976331358,1.19047619047619,0,1.20481927710844
"46",1991,1,408,5.20833333333334,12.6315789473684,4.16666666666666,6.38297872340425
"47",1991,1,409,0,5.4054054054054,3.94736842105263,0
"48",1991,1,410,3.77358490566037,3.77358490566037,3.77358490566037,0
"49",1991,1,411,0,0,0,3.77358490566037
"50",1991,1,412,5.15463917525774,23.469387755102,6.18556701030928,3.09278350515464
"51",1991,1,413,1.09890109890109,4.39560439560439,2.1978021978022,1.12359550561798
"52",1991,1,414,4.34782608695652,17.3913043478261,10.8695652173913,4.65116279069767
"53",1991,1,501,14.5833333333333,14.5833333333333,8.16326530612244,0
"54",1991,1,502,8.51063829787235,4.34782608695652,2.12765957446808,4.25531914893617
"55",1991,1,503,0,0,0,3.125
"56",1991,2,101,7.14285714285714,10.7142857142857,7.14285714285714,7.4074074074074
"57",1991,2,102,22.5806451612903,25.8064516129032,9.67741935483872,7.4074074074074
"58",1991,2,103,62.5,12.5,12.5,12.5
"59",1991,2,104,9.09090909090909,18.1818181818182,18.1818181818182,9.09090909090909
"60",1991,2,105,19.0476190476191,21.4285714285714,7.14285714285714,4.76190476190477
"61",1991,2,106,7.46268656716418,23.8805970149254,19.4029850746269,0
"62",1991,2,107,0,7.89473684210526,5.26315789473685,7.89473684210526
"63",1991,2,108,1.53846153846153,1.5625,0,0
"64",1991,2,109,1.5625,3.125,0,6.45161290322581
"65",1991,2,110,4.16666666666666,8.33333333333334,4.16666666666666,8.69565217391305
"66",1991,2,201,2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238
"67",1991,2,202,2.77777777777779,11.1111111111111,2.77777777777779,5.55555555555556
"68",1991,2,203,18.1818181818182,40,18.1818181818182,20
"69",1991,2,204,0,38.7096774193548,6.45161290322581,3.33333333333333
"70",1991,2,205,21.4285714285714,7.14285714285714,7.14285714285714,21.4285714285714
"71",1991,2,206,1.9607843137255,7.84313725490196,5.88235294117648,0
"72",1991,2,207,0,2.63157894736842,0,0
"73",1991,2,208,0,0,0,0
"74",1991,2,209,0,0,0,0
"75",1991,2,210,0,3.48837209302324,0,1.17647058823529
